행정구역구분명,행정구역명,총 인구수,인구소멸비율,시군구
시군,경기도 가평군,61969,0.056,가평군
구,경기도 고양시 덕양구,495181,0.107,고양시덕양구
구,경기도 고양시 일산동구,293752,0.108,고양시일산동구
구,경기도 고양시 일산서구,288976,0.1,고양시일산서구
시군,경기도 과천시,78654,0.11,과천시
시군,경기도 광명시,285198,0.099,광명시
시군,경기도 광주시,390949,0.094,광주시
시군,경기도 구리시,188709,0.101,구리시
시군,경기도 군포시,265252,0.103,군포시
시군,경기도 김포시,484514,0.102,김포시
시군,경기도 남양주시,735649,0.092,남양주시
시군,경기도 동두천시,90582,0.075,동두천시
시군,경기도 부천시,787813,0.103,부천시
구,경기도 성남시 분당구,479746,0.112,성남시분당구
구,경기도 성남시 수정구,229199,0.104,성남시수정구
구,경기도 성남시 중원구,214471,0.106,성남시중원구
구,경기도 수원시 권선구,367618,0.115,수원시권선구
구,경기도 수원시 영통구,361841,0.136,수원시영통구
구,경기도 수원시 장안구,269403,0.103,수원시장안구
구,경기도 수원시 팔달구,193363,0.122,수원시팔달구
시군,경기도 시흥시,517336,0.107,시흥시
구,경기도 안산시 단원구,296102,0.109,안산시단원구
구,경기도 안산시 상록구,342162,0.107,안산시상록구
시군,경기도 안성시,188574,0.081,안성시
구,경기도 안양시 동안구,313268,0.109,안양시동안구
구,경기도 안양시 만안구,234052,0.102,안양시만안구
시군,경기도 양주시,250698,0.089,양주시
시군,경기도 양평군,122661,0.055,양평군
시군,경기도 여주시,113209,0.068,여주시
시군,경기도 연천군,41762,0.057,연천군
시군,경기도 오산시,229247,0.109,오산시
구,경기도 용인시 기흥구,436881,0.101,용인시기흥구
구,경기도 용인시 수지구,377914,0.106,용인시수지구
구,경기도 용인시 처인구,258718,0.092,용인시처인구
시군,경기도 의왕시,159246,0.103,의왕시
시군,경기도 의정부시,462637,0.103,의정부시
시군,경기도 이천시,222148,0.096,이천시
시군,경기도 파주시,496450,0.099,파주시
시군,경기도 평택시,583029,0.106,평택시
시군,경기도 포천시,145614,0.068,포천시
시군,경기도 하남시,326768,0.112,하남시
시군,경기도 화성시,922231,0.115,화성시
시군,경기도 가평군,62069,0.056,가평군
구,경기도 고양시 덕양구,494061,0.107,고양시덕양구
구,경기도 고양시 일산동구,294628,0.108,고양시일산동구
구,경기도 고양시 일산서구,289398,0.101,고양시일산서구
시군,경기도 과천시,78526,0.11,과천시
시군,경기도 광명시,286584,0.099,광명시
시군,경기도 광주시,390950,0.095,광주시
시군,경기도 구리시,188436,0.101,구리시
시군,경기도 군포시,265648,0.103,군포시
시군,경기도 김포시,484536,0.102,김포시
시군,경기도 남양주시,736484,0.093,남양주시
시군,경기도 동두천시,90883,0.076,동두천시
시군,경기도 부천시,787673,0.104,부천시
구,경기도 성남시 분당구,480736,0.112,성남시분당구
구,경기도 성남시 수정구,229163,0.104,성남시수정구
구,경기도 성남시 중원구,214152,0.107,성남시중원구
구,경기도 수원시 권선구,367638,0.115,수원시권선구
구,경기도 수원시 영통구,361960,0.136,수원시영통구
구,경기도 수원시 장안구,269841,0.103,수원시장안구
구,경기도 수원시 팔달구,193247,0.122,수원시팔달구
시군,경기도 시흥시,515058,0.107,시흥시
구,경기도 안산시 단원구,296303,0.109,안산시단원구
구,경기도 안산시 상록구,343052,0.107,안산시상록구
시군,경기도 안성시,188634,0.082,안성시
구,경기도 안양시 동안구,313435,0.109,안양시동안구
구,경기도 안양시 만안구,234148,0.102,안양시만안구
시군,경기도 양주시,248568,0.088,양주시
시군,경기도 양평군,122478,0.055,양평군
시군,경기도 여주시,113243,0.068,여주시
시군,경기도 연천군,41830,0.057,연천군
시군,경기도 오산시,229415,0.109,오산시
구,경기도 용인시 기흥구,437431,0.101,용인시기흥구
구,경기도 용인시 수지구,378036,0.106,용인시수지구
구,경기도 용인시 처인구,258666,0.093,용인시처인구
시군,경기도 의왕시,159701,0.104,의왕시
시군,경기도 의정부시,463053,0.103,의정부시
시군,경기도 이천시,222306,0.096,이천시
시군,경기도 파주시,495810,0.099,파주시
시군,경기도 평택시,581524,0.106,평택시
시군,경기도 포천시,145927,0.068,포천시
시군,경기도 하남시,326704,0.113,하남시
시군,경기도 화성시,918865,0.115,화성시
시군,경기도 가평군,62114,0.056,가평군
구,경기도 고양시 덕양구,492402,0.107,고양시덕양구
구,경기도 고양시 일산동구,295345,0.109,고양시일산동구
구,경기도 고양시 일산서구,289852,0.101,고양시일산서구
시군,경기도 과천시,78341,0.111,과천시
시군,경기도 광명시,287603,0.1,광명시
시군,경기도 광주시,391225,0.095,광주시
시군,경기도 구리시,188550,0.102,구리시
시군,경기도 군포시,265999,0.104,군포시
시군,경기도 김포시,484725,0.103,김포시
시군,경기도 남양주시,737171,0.093,남양주시
시군,경기도 동두천시,91255,0.077,동두천시
시군,경기도 부천시,788935,0.104,부천시
구,경기도 성남시 분당구,481449,0.112,성남시분당구
구,경기도 성남시 수정구,229568,0.105,성남시수정구
구,경기도 성남시 중원구,213070,0.107,성남시중원구
구,경기도 수원시 권선구,367601,0.116,수원시권선구
구,경기도 수원시 영통구,360993,0.136,수원시영통구
구,경기도 수원시 장안구,270061,0.103,수원시장안구
구,경기도 수원시 팔달구,192965,0.122,수원시팔달구
시군,경기도 시흥시,513468,0.108,시흥시
구,경기도 안산시 단원구,296695,0.109,안산시단원구
구,경기도 안산시 상록구,343984,0.108,안산시상록구
시군,경기도 안성시,188643,0.082,안성시
구,경기도 안양시 동안구,313659,0.11,안양시동안구
구,경기도 안양시 만안구,234258,0.102,안양시만안구
시군,경기도 양주시,245451,0.088,양주시
시군,경기도 양평군,122414,0.055,양평군
시군,경기도 여주시,113259,0.068,여주시
시군,경기도 연천군,41950,0.057,연천군
시군,경기도 오산시,229704,0.11,오산시
구,경기도 용인시 기흥구,438015,0.102,용인시기흥구
구,경기도 용인시 수지구,377752,0.107,용인시수지구
구,경기도 용인시 처인구,258883,0.093,용인시처인구
시군,경기도 의왕시,160067,0.104,의왕시
시군,경기도 의정부시,463353,0.104,의정부시
시군,경기도 이천시,222451,0.097,이천시
시군,경기도 파주시,495480,0.099,파주시
시군,경기도 평택시,580011,0.106,평택시
시군,경기도 포천시,146374,0.069,포천시
시군,경기도 하남시,326496,0.113,하남시
시군,경기도 화성시,914500,0.115,화성시
시군,경기도 가평군,62197,0.057,가평군
구,경기도 고양시 덕양구,487874,0.107,고양시덕양구
구,경기도 고양시 일산동구,296590,0.11,고양시일산동구
구,경기도 고양시 일산서구,290738,0.102,고양시일산서구
시군,경기도 과천시,77775,0.112,과천시
시군,경기도 광명시,288182,0.1,광명시
시군,경기도 광주시,391704,0.097,광주시
시군,경기도 광주시 오포2동,34293,0.1,광주시오포2동
시군,경기도 구리시,188876,0.102,구리시
시군,경기도 군포시,266531,0.104,군포시
시군,경기도 김포시,484194,0.104,김포시
시군,경기도 남양주시,737366,0.094,남양주시
시군,경기도 동두천시,91735,0.077,동두천시
시군,경기도 부천시,791263,0.105,부천시
구,경기도 성남시 분당구,482026,0.113,성남시분당구
구,경기도 성남시 수정구,232125,0.105,성남시수정구
구,경기도 성남시 중원구,206211,0.105,성남시중원구
구,경기도 수원시 권선구,313834,0.111,수원시권선구
구,경기도 수원시 영통구,495315,0.1,수원시영통구
구,경기도 수원시 장안구,270524,0.104,수원시장안구
구,경기도 수원시 팔달구,188701,0.102,수원시팔달구
시군,경기도 시흥시,512438,0.109,시흥시
구,경기도 안산시 단원구,297509,0.11,안산시단원구
구,경기도 안산시 상록구,345535,0.109,안산시상록구
시군,경기도 안성시,189146,0.083,안성시
구,경기도 안양시 동안구,314102,0.111,안양시동안구
구,경기도 안양시 만안구,234296,0.103,안양시만안구
시군,경기도 양평군,122463,0.056,양평군
시군,경기도 여주시,113096,0.069,여주시
시군,경기도 연천군,42153,0.058,연천군
시군,경기도 오산시,229833,0.111,오산시
구,경기도 용인시 기흥구,438500,0.103,용인시기흥구
구,경기도 용인시 수지구,377198,0.108,용인시수지구
구,경기도 용인시 처인구,259872,0.094,용인시처인구
시군,경기도 의왕시,160464,0.105,의왕시
시군,경기도 의정부시,463789,0.105,의정부시
시군,경기도 이천시,223151,0.097,이천시
시군,경기도 파주시,494970,0.1,파주시
시군,경기도 평택시,577335,0.106,평택시
시군,경기도 포천시,147019,0.069,포천시
시군,경기도 하남시,325310,0.114,하남시
시군,경기도 화성시,907958,0.116,화성시
시군,경기도 가평군,62197,0.057,가평군
구,경기도 고양시 덕양구,487874,0.107,고양시덕양구
구,경기도 고양시 일산동구,296590,0.11,고양시일산동구
구,경기도 고양시 일산서구,290738,0.102,고양시일산서구
시군,경기도 과천시,77775,0.112,과천시
시군,경기도 광명시,288182,0.1,광명시
시군,경기도 광주시,391704,0.097,광주시
시군,경기도 광주시 오포2동,34293,0.1,광주시오포2동
시군,경기도 구리시,188876,0.102,구리시
시군,경기도 군포시,266531,0.104,군포시
시군,경기도 김포시,484194,0.104,김포시
시군,경기도 남양주시,737366,0.094,남양주시
시군,경기도 동두천시,91735,0.077,동두천시
시군,경기도 부천시,791263,0.105,부천시
구,경기도 성남시 분당구,482026,0.113,성남시분당구
구,경기도 성남시 수정구,232125,0.105,성남시수정구
구,경기도 성남시 중원구,206211,0.105,성남시중원구
구,경기도 수원시 권선구,367004,0.116,수원시권선구
구,경기도 수원시 영통구,360127,0.137,수원시영통구
구,경기도 수원시 장안구,271012,0.104,수원시장안구
구,경기도 수원시 팔달구,192225,0.123,수원시팔달구
시군,경기도 시흥시,512438,0.109,시흥시
구,경기도 안산시 단원구,297509,0.11,안산시단원구
구,경기도 안산시 상록구,345535,0.109,안산시상록구
시군,경기도 안성시,189146,0.083,안성시
구,경기도 안양시 동안구,314102,0.111,안양시동안구
구,경기도 안양시 만안구,234296,0.103,안양시만안구
시군,경기도 양평군,122463,0.056,양평군
시군,경기도 여주시,113096,0.069,여주시
시군,경기도 연천군,42153,0.058,연천군
시군,경기도 오산시,229833,0.111,오산시
구,경기도 용인시 기흥구,438500,0.103,용인시기흥구
구,경기도 용인시 수지구,377198,0.108,용인시수지구
구,경기도 용인시 처인구,259872,0.094,용인시처인구
시군,경기도 의왕시,160464,0.105,의왕시
시군,경기도 의정부시,463789,0.105,의정부시
시군,경기도 이천시,223151,0.097,이천시
시군,경기도 파주시,494970,0.1,파주시
시군,경기도 평택시,577335,0.106,평택시
시군,경기도 포천시,147019,0.069,포천시
시군,경기도 하남시,325310,0.114,하남시
시군,경기도 화성시,907958,0.116,화성시
시군,경기도 가평군,62219,0.057,가평군
구,경기도 고양시 덕양구,486427,0.107,고양시덕양구
구,경기도 고양시 일산동구,297055,0.11,고양시일산동구
구,경기도 고양시 일산서구,291302,0.102,고양시일산서구
시군,경기도 과천시,77818,0.112,과천시
시군,경기도 광명시,288366,0.1,광명시
시군,경기도 광주시,391722,0.097,광주시
시군,경기도 광주시 오포2동,34274,0.1,광주시오포2동
시군,경기도 구리시,189008,0.103,구리시
시군,경기도 군포시,266735,0.105,군포시
시군,경기도 김포시,484071,0.105,김포시
시군,경기도 남양주시,737352,0.094,남양주시
시군,경기도 동두천시,91980,0.078,동두천시
시군,경기도 부천시,792561,0.105,부천시
구,경기도 성남시 분당구,482111,0.113,성남시분당구
구,경기도 성남시 수정구,232663,0.106,성남시수정구
구,경기도 성남시 중원구,205893,0.105,성남시중원구
구,경기도 수원시 권선구,366453,0.117,수원시권선구
구,경기도 수원시 영통구,360473,0.137,수원시영통구
구,경기도 수원시 장안구,271305,0.104,수원시장안구
구,경기도 수원시 팔달구,191423,0.123,수원시팔달구
시군,경기도 시흥시,512168,0.109,시흥시
구,경기도 안산시 단원구,297994,0.11,안산시단원구
구,경기도 안산시 상록구,346589,0.109,안산시상록구
시군,경기도 안성시,189475,0.083,안성시
구,경기도 안양시 동안구,314041,0.111,안양시동안구
구,경기도 안양시 만안구,234331,0.103,안양시만안구
시군,경기도 양평군,122613,0.056,양평군
시군,경기도 여주시,113027,0.069,여주시
시군,경기도 연천군,42240,0.058,연천군
시군,경기도 오산시,229821,0.111,오산시
구,경기도 용인시 기흥구,438547,0.103,용인시기흥구
구,경기도 용인시 수지구,376892,0.108,용인시수지구
구,경기도 용인시 처인구,260930,0.094,용인시처인구
시군,경기도 의왕시,160563,0.105,의왕시
시군,경기도 의정부시,463324,0.104,의정부시
시군,경기도 이천시,224077,0.098,이천시
시군,경기도 파주시,493938,0.1,파주시
시군,경기도 평택시,576192,0.107,평택시
시군,경기도 포천시,147171,0.07,포천시
시군,경기도 하남시,324674,0.115,하남시
시군,경기도 화성시,904267,0.116,화성시
시군,경기도 가평군,62168,0.057,가평군
구,경기도 고양시 덕양구,484656,0.108,고양시덕양구
구,경기도 고양시 일산동구,299399,0.112,고양시일산동구
구,경기도 고양시 일산서구,295222,0.104,고양시일산서구
시군,경기도 과천시,78301,0.113,과천시
시군,경기도 광명시,290756,0.102,광명시
시군,경기도 광주시,388893,0.099,광주시
시군,경기도 구리시,191011,0.105,구리시
시군,경기도 군포시,267493,0.106,군포시
시군,경기도 김포시,485609,0.107,김포시
시군,경기도 남양주시,734642,0.096,남양주시
시군,경기도 동두천시,93260,0.08,동두천시
시군,경기도 부천시,801503,0.107,부천시
구,경기도 성남시 분당구,484318,0.115,성남시분당구
구,경기도 성남시 수정구,235103,0.107,성남시수정구
구,경기도 성남시 중원구,208846,0.106,성남시중원구
구,경기도 수원시 권선구,314005,0.112,수원시권선구
구,경기도 수원시 영통구,492267,0.101,수원시영통구
구,경기도 수원시 장안구,271779,0.105,수원시장안구
구,경기도 수원시 팔달구,189231,0.103,수원시팔달구
시군,경기도 시흥시,512721,0.111,시흥시
구,경기도 안산시 단원구,301142,0.113,안산시단원구
구,경기도 안산시 상록구,349566,0.111,안산시상록구
시군,경기도 안성시,189772,0.085,안성시
구,경기도 안양시 동안구,313881,0.112,안양시동안구
구,경기도 안양시 만안구,235843,0.104,안양시만안구
시군,경기도 양주시,236142,0.088,양주시
시군,경기도 양평군,121789,0.058,양평군
시군,경기도 여주시,112410,0.07,여주시
시군,경기도 연천군,42731,0.059,연천군
시군,경기도 오산시,230028,0.115,오산시
구,경기도 용인시 기흥구,440298,0.105,용인시기흥구
구,경기도 용인시 수지구,375139,0.109,용인시수지구
구,경기도 용인시 처인구,260440,0.096,용인시처인구
시군,경기도 의왕시,162137,0.107,의왕시
시군,경기도 의정부시,464358,0.106,의정부시
시군,경기도 이천시,222722,0.1,이천시
시군,경기도 파주시,486515,0.101,파주시
시군,경기도 평택시,569369,0.108,평택시
시군,경기도 포천시,148469,0.071,포천시
시군,경기도 하남시,323558,0.116,하남시
시군,경기도 화성시,892038,0.118,화성시
시군,경기도 가평군,62168,0.057,가평군
구,경기도 고양시 덕양구,484656,0.108,고양시덕양구
구,경기도 고양시 일산동구,299399,0.112,고양시일산동구
구,경기도 고양시 일산서구,295222,0.104,고양시일산서구
시군,경기도 과천시,78301,0.113,과천시
시군,경기도 광명시,290756,0.102,광명시
시군,경기도 광주시,388893,0.099,광주시
시군,경기도 구리시,191011,0.105,구리시
시군,경기도 군포시,267493,0.106,군포시
시군,경기도 김포시,485609,0.107,김포시
시군,경기도 남양주시,734642,0.096,남양주시
시군,경기도 동두천시,93260,0.08,동두천시
시군,경기도 부천시,801503,0.107,부천시
구,경기도 성남시 분당구,484318,0.115,성남시분당구
구,경기도 성남시 수정구,235103,0.107,성남시수정구
구,경기도 성남시 중원구,208846,0.106,성남시중원구
구,경기도 수원시 권선구,314855,0.112,수원시권선구
구,경기도 수원시 영통구,490143,0.1,수원시영통구
구,경기도 수원시 장안구,272638,0.105,수원시장안구
구,경기도 수원시 팔달구,189960,0.103,수원시팔달구
시군,경기도 시흥시,512721,0.111,시흥시
구,경기도 안산시 단원구,301142,0.113,안산시단원구
구,경기도 안산시 상록구,349566,0.111,안산시상록구
시군,경기도 안성시,189772,0.085,안성시
구,경기도 안양시 동안구,313881,0.112,안양시동안구
구,경기도 안양시 만안구,235843,0.104,안양시만안구
시군,경기도 양주시,236142,0.088,양주시
시군,경기도 양평군,121789,0.058,양평군
시군,경기도 여주시,112410,0.07,여주시
시군,경기도 연천군,42731,0.059,연천군
시군,경기도 오산시,230028,0.115,오산시
구,경기도 용인시 기흥구,440298,0.105,용인시기흥구
구,경기도 용인시 수지구,375139,0.109,용인시수지구
구,경기도 용인시 처인구,260440,0.096,용인시처인구
시군,경기도 의왕시,162137,0.107,의왕시
시군,경기도 의정부시,464358,0.106,의정부시
시군,경기도 이천시,222722,0.1,이천시
시군,경기도 파주시,486515,0.101,파주시
시군,경기도 평택시,569369,0.108,평택시
시군,경기도 포천시,148469,0.071,포천시
시군,경기도 하남시,323558,0.116,하남시
시군,경기도 화성시,892038,0.118,화성시
시군,경기도 가평군,62168,0.057,가평군
구,경기도 고양시 덕양구,484656,0.108,고양시덕양구
구,경기도 고양시 일산동구,299399,0.112,고양시일산동구
구,경기도 고양시 일산서구,295222,0.104,고양시일산서구
시군,경기도 과천시,78301,0.113,과천시
시군,경기도 광명시,290756,0.102,광명시
시군,경기도 광주시,388893,0.099,광주시
시군,경기도 구리시,191011,0.105,구리시
시군,경기도 군포시,267493,0.106,군포시
시군,경기도 김포시,485609,0.107,김포시
시군,경기도 남양주시,734642,0.096,남양주시
시군,경기도 동두천시,93260,0.08,동두천시
시군,경기도 부천시,801503,0.107,부천시
구,경기도 성남시 분당구,484318,0.115,성남시분당구
구,경기도 성남시 수정구,235103,0.107,성남시수정구
구,경기도 성남시 중원구,208846,0.106,성남시중원구
구,경기도 수원시 권선구,315094,0.112,수원시권선구
구,경기도 수원시 영통구,488608,0.1,수원시영통구
구,경기도 수원시 장안구,273174,0.105,수원시장안구
구,경기도 수원시 팔달구,190323,0.104,수원시팔달구
시군,경기도 시흥시,512721,0.111,시흥시
구,경기도 안산시 단원구,301142,0.113,안산시단원구
구,경기도 안산시 상록구,349566,0.111,안산시상록구
시군,경기도 안성시,189772,0.085,안성시
구,경기도 안양시 동안구,313881,0.112,안양시동안구
구,경기도 안양시 만안구,235843,0.104,안양시만안구
시군,경기도 양주시,236142,0.088,양주시
시군,경기도 양평군,121789,0.058,양평군
시군,경기도 여주시,112410,0.07,여주시
시군,경기도 연천군,42731,0.059,연천군
시군,경기도 오산시,230028,0.115,오산시
구,경기도 용인시 기흥구,440298,0.105,용인시기흥구
구,경기도 용인시 수지구,375139,0.109,용인시수지구
구,경기도 용인시 처인구,260440,0.096,용인시처인구
시군,경기도 의왕시,162137,0.107,의왕시
시군,경기도 의정부시,464358,0.106,의정부시
시군,경기도 이천시,222722,0.1,이천시
시군,경기도 파주시,486515,0.101,파주시
시군,경기도 평택시,569369,0.108,평택시
시군,경기도 포천시,148469,0.071,포천시
시군,경기도 하남시,323558,0.116,하남시
시군,경기도 화성시,892038,0.118,화성시
시군,경기도 가평군,62168,0.057,가평군
구,경기도 고양시 덕양구,484656,0.108,고양시덕양구
구,경기도 고양시 일산동구,299399,0.112,고양시일산동구
구,경기도 고양시 일산서구,295222,0.104,고양시일산서구
시군,경기도 과천시,78301,0.113,과천시
시군,경기도 광명시,290756,0.102,광명시
시군,경기도 광주시,388893,0.099,광주시
시군,경기도 구리시,191011,0.105,구리시
시군,경기도 군포시,267493,0.106,군포시
시군,경기도 김포시,485609,0.107,김포시
시군,경기도 남양주시,734642,0.096,남양주시
시군,경기도 동두천시,93260,0.08,동두천시
시군,경기도 부천시,801503,0.107,부천시
구,경기도 성남시 분당구,484318,0.115,성남시분당구
구,경기도 성남시 수정구,235103,0.107,성남시수정구
구,경기도 성남시 중원구,208846,0.106,성남시중원구
구,경기도 수원시 권선구,314947,0.112,수원시권선구
구,경기도 수원시 영통구,487831,0.101,수원시영통구
구,경기도 수원시 장안구,273223,0.105,수원시장안구
구,경기도 수원시 팔달구,190379,0.104,수원시팔달구
시군,경기도 시흥시,512721,0.111,시흥시
구,경기도 안산시 단원구,301142,0.113,안산시단원구
구,경기도 안산시 상록구,349566,0.111,안산시상록구
시군,경기도 안성시,189772,0.085,안성시
구,경기도 안양시 동안구,313881,0.112,안양시동안구
구,경기도 안양시 만안구,235843,0.104,안양시만안구
시군,경기도 양주시,236142,0.088,양주시
시군,경기도 양평군,121789,0.058,양평군
시군,경기도 여주시,112410,0.07,여주시
시군,경기도 연천군,42731,0.059,연천군
시군,경기도 오산시,230028,0.115,오산시
구,경기도 용인시 기흥구,440298,0.105,용인시기흥구
구,경기도 용인시 수지구,375139,0.109,용인시수지구
구,경기도 용인시 처인구,260440,0.096,용인시처인구
시군,경기도 의왕시,162137,0.107,의왕시
시군,경기도 의정부시,464358,0.106,의정부시
시군,경기도 이천시,222722,0.1,이천시
시군,경기도 파주시,486515,0.101,파주시
시군,경기도 평택시,569369,0.108,평택시
시군,경기도 포천시,148469,0.071,포천시
시군,경기도 하남시,323558,0.116,하남시
시군,경기도 화성시,892038,0.118,화성시
시군,경기도 가평군,62168,0.057,가평군
구,경기도 고양시 덕양구,484656,0.108,고양시덕양구
구,경기도 고양시 일산동구,299399,0.112,고양시일산동구
구,경기도 고양시 일산서구,295222,0.104,고양시일산서구
시군,경기도 과천시,78301,0.113,과천시
시군,경기도 광명시,290756,0.102,광명시
시군,경기도 광주시,388893,0.099,광주시
시군,경기도 구리시,191011,0.105,구리시
시군,경기도 군포시,267493,0.106,군포시
시군,경기도 김포시,485609,0.107,김포시
시군,경기도 남양주시,734642,0.096,남양주시
시군,경기도 동두천시,93260,0.08,동두천시
시군,경기도 부천시,801503,0.107,부천시
구,경기도 성남시 분당구,484318,0.115,성남시분당구
구,경기도 성남시 수정구,235103,0.107,성남시수정구
구,경기도 성남시 중원구,208846,0.106,성남시중원구
구,경기도 수원시 권선구,314688,0.112,수원시권선구
구,경기도 수원시 영통구,486872,0.101,수원시영통구
구,경기도 수원시 장안구,272963,0.105,수원시장안구
구,경기도 수원시 팔달구,190647,0.104,수원시팔달구
시군,경기도 시흥시,512721,0.111,시흥시
구,경기도 안산시 단원구,301142,0.113,안산시단원구
구,경기도 안산시 상록구,349566,0.111,안산시상록구
시군,경기도 안성시,189772,0.085,안성시
구,경기도 안양시 동안구,313881,0.112,안양시동안구
구,경기도 안양시 만안구,235843,0.104,안양시만안구
시군,경기도 양주시,236142,0.088,양주시
시군,경기도 양평군,121789,0.058,양평군
시군,경기도 여주시,112410,0.07,여주시
시군,경기도 연천군,42731,0.059,연천군
시군,경기도 오산시,230028,0.115,오산시
구,경기도 용인시 기흥구,440298,0.105,용인시기흥구
구,경기도 용인시 수지구,375139,0.109,용인시수지구
구,경기도 용인시 처인구,260440,0.096,용인시처인구
시군,경기도 의왕시,162137,0.107,의왕시
시군,경기도 의정부시,464358,0.106,의정부시
시군,경기도 이천시,222722,0.1,이천시
시군,경기도 파주시,486515,0.101,파주시
시군,경기도 평택시,569369,0.108,평택시
시군,경기도 포천시,148469,0.071,포천시
시군,경기도 하남시,323558,0.116,하남시
시군,경기도 화성시,892038,0.118,화성시
시군,경기도 가평군,62168,0.057,가평군
구,경기도 고양시 덕양구,484656,0.108,고양시덕양구
구,경기도 고양시 일산동구,299399,0.112,고양시일산동구
구,경기도 고양시 일산서구,295222,0.104,고양시일산서구
시군,경기도 과천시,78301,0.113,과천시
시군,경기도 광명시,290756,0.102,광명시
시군,경기도 광주시,388893,0.099,광주시
시군,경기도 구리시,191011,0.105,구리시
시군,경기도 군포시,267493,0.106,군포시
시군,경기도 김포시,485609,0.107,김포시
시군,경기도 남양주시,734642,0.096,남양주시
시군,경기도 동두천시,93260,0.08,동두천시
시군,경기도 부천시,801503,0.107,부천시
구,경기도 성남시 분당구,484318,0.115,성남시분당구
구,경기도 성남시 수정구,235103,0.107,성남시수정구
구,경기도 성남시 중원구,208846,0.106,성남시중원구
구,경기도 수원시 권선구,369525,0.119,수원시권선구
구,경기도 수원시 영통구,361402,0.138,수원시영통구
구,경기도 수원시 장안구,273238,0.106,수원시장안구
구,경기도 수원시 팔달구,181395,0.12,수원시팔달구
시군,경기도 시흥시,512721,0.111,시흥시
구,경기도 안산시 단원구,301142,0.113,안산시단원구
구,경기도 안산시 상록구,349566,0.111,안산시상록구
시군,경기도 안성시,189772,0.085,안성시
구,경기도 안양시 동안구,313881,0.112,안양시동안구
구,경기도 안양시 만안구,235843,0.104,안양시만안구
시군,경기도 양주시,236142,0.088,양주시
시군,경기도 양평군,121789,0.058,양평군
시군,경기도 여주시,112410,0.07,여주시
시군,경기도 연천군,42731,0.059,연천군
시군,경기도 오산시,230028,0.115,오산시
구,경기도 용인시 기흥구,440298,0.105,용인시기흥구
구,경기도 용인시 수지구,375139,0.109,용인시수지구
구,경기도 용인시 처인구,260440,0.096,용인시처인구
시군,경기도 의왕시,162137,0.107,의왕시
시군,경기도 의정부시,464358,0.106,의정부시
시군,경기도 이천시,222722,0.1,이천시
시군,경기도 파주시,486515,0.101,파주시
시군,경기도 평택시,569369,0.108,평택시
시군,경기도 포천시,148469,0.071,포천시
시군,경기도 하남시,323558,0.116,하남시
시군,경기도 화성시,892038,0.118,화성시
시군,경기도 가평군,62221,0.058,가평군
구,경기도 고양시 덕양구,484122,0.108,고양시덕양구
구,경기도 고양시 일산동구,299256,0.113,고양시일산동구
구,경기도 고양시 일산서구,295687,0.104,고양시일산서구
시군,경기도 과천시,78128,0.113,과천시
시군,경기도 광명시,290698,0.102,광명시
시군,경기도 광주시,388213,0.099,광주시
시군,경기도 구리시,191213,0.105,구리시
시군,경기도 군포시,267173,0.106,군포시
시군,경기도 김포시,485882,0.108,김포시
시군,경기도 남양주시,734033,0.096,남양주시
시군,경기도 동두천시,93346,0.08,동두천시
시군,경기도 부천시,802473,0.108,부천시
구,경기도 성남시 분당구,484680,0.115,성남시분당구
구,경기도 성남시 수정구,235377,0.108,성남시수정구
구,경기도 성남시 중원구,209406,0.106,성남시중원구
구,경기도 수원시 권선구,369288,0.119,수원시권선구
구,경기도 수원시 영통구,361145,0.138,수원시영통구
구,경기도 수원시 장안구,273541,0.106,수원시장안구
구,경기도 수원시 팔달구,181595,0.12,수원시팔달구
시군,경기도 시흥시,512455,0.112,시흥시
구,경기도 안산시 단원구,301483,0.113,안산시단원구
구,경기도 안산시 상록구,349670,0.111,안산시상록구
시군,경기도 안성시,189539,0.085,안성시
구,경기도 안양시 동안구,313589,0.113,안양시동안구
구,경기도 안양시 만안구,236237,0.105,안양시만안구
시군,경기도 양주시,236239,0.088,양주시
시군,경기도 양평군,121726,0.059,양평군
시군,경기도 여주시,112393,0.07,여주시
시군,경기도 연천군,42784,0.06,연천군
시군,경기도 오산시,229918,0.115,오산시
구,경기도 용인시 기흥구,440826,0.106,용인시기흥구
구,경기도 용인시 수지구,375172,0.109,용인시수지구
구,경기도 용인시 처인구,259786,0.097,용인시처인구
시군,경기도 의왕시,162493,0.108,의왕시
시군,경기도 의정부시,464262,0.106,의정부시
시군,경기도 이천시,222714,0.1,이천시
시군,경기도 파주시,486131,0.101,파주시
시군,경기도 평택시,568405,0.108,평택시
시군,경기도 포천시,148527,0.071,포천시
시군,경기도 하남시,323442,0.117,하남시
시군,경기도 화성시,890668,0.118,화성시
시군,경기도 가평군,62247,0.058,가평군
구,경기도 고양시 덕양구,483743,0.108,고양시덕양구
구,경기도 고양시 일산동구,298563,0.113,고양시일산동구
구,경기도 고양시 일산서구,296466,0.105,고양시일산서구
시군,경기도 과천시,77632,0.112,과천시
시군,경기도 광명시,291331,0.103,광명시
시군,경기도 광주시,387646,0.1,광주시
시군,경기도 구리시,191322,0.105,구리시
시군,경기도 군포시,267294,0.107,군포시
시군,경기도 김포시,486334,0.108,김포시
시군,경기도 남양주시,733995,0.096,남양주시
시군,경기도 동두천시,93395,0.08,동두천시
시군,경기도 부천시,803585,0.108,부천시
구,경기도 성남시 분당구,485124,0.116,성남시분당구
